price,brand,utility,weight,warranty,display_size,ppi,touch_screen,ram,ssd,graphic,core,hdmi,backlit_keyboard,battery_capacity,pixel_height,processor
114990.0,Acer,Performance,heavy,1.0,large,142,0,16,1024,NVIDIA,16.0,1,1,very_high,1200.0,Intel i7 13.0
99990.0,Acer,Performance,heavy,1.0,large,142,0,16,512,NVIDIA,14.0,1,1,very_high,1200.0,Intel i5 13.0
44990.0,HP,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,1,low,1080.0,Intel i3 12.0
72799.0,HP,Gaming,heavy,1.0,medium,137,0,16,512,NVIDIA,8.0,1,1,high,1080.0,Intel i5 12.0
35990.0,HP,Business,medium,1.0,medium,100,0,8,512,Integrated,2.0,1,0,low,768.0,Intel i3 11.0
75999.0,HP,Gaming,medium,1.0,medium,137,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
69990.0,Asus,Everyday Use,lite,1.0,small,162,1,16,512,AMD,8.0,1,1,medium,1200.0,AMD 7 5.0
56990.0,Asus,Performance,lite,1.0,small,162,0,8,512,Integrated,12.0,1,1,high,1200.0,Intel i5 12.0
49990.0,Asus,Performance,medium,1.0,medium,141,0,16,512,AMD,4.0,1,1,low,1080.0,AMD 5 7.0
32990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,8.0,1,0,low,1080.0,Intel N305 3.0
64990.0,Acer,Everyday Use,heavy,1.0,medium,141,0,8,512,NVIDIA,6.0,1,1,high,1080.0,AMD 5 7.0
44990.0,Asus,Performance,medium,1.0,medium,141,0,16,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
39990.0,Asus,Performance,medium,1.0,medium,141,0,8,512,AMD,4.0,1,1,low,1080.0,AMD 3 7.0
39990.0,Lenovo,Performance,lite,1.0,small,157,0,8,512,Integrated,6.0,1,1,low,1080.0,Intel i3 12.0
308990.0,MSI,Gaming,heavy,2.0,large,255,0,32,2048,NVIDIA,14.0,1,1,high,2160.0,Intel i9 12.0
26990.0,Infinix,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,1,medium,1080.0,Intel i3 10.0
26990.0,Infinix,Everyday Use,medium,1.0,medium,141,0,8,256,Integrated,2.0,1,1,medium,1080.0,Intel i3 10.0
37990.0,HP,Performance,medium,1.0,medium,141,0,8,512,Integrated,2.0,1,1,low,1080.0,Intel i3 11.0
51990.0,HP,Performance,medium,1.0,medium,141,0,8,512,Integrated,4.0,1,1,low,1080.0,Intel i5 11.0
53990.0,Asus,Gaming,medium,1.0,large,283,0,16,512,AMD,6.0,1,1,medium,1920.0,AMD 5 5.0
108000.0,Dell,Everyday Use,medium,1.0,small,112,0,8,512,Integrated,10.0,1,1,high,768.0,Intel i5 12.0
44550.0,Dell,Everyday Use,medium,1.0,medium,147,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 5 7.0
143000.0,HP,Everyday Use,medium,1.0,large,142,0,16,1024,Integrated,10.0,1,1,medium,1200.0,Intel i7 12.0
42990.0,Acer,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,1,medium,1080.0,Intel i3 13.0
354490.0,Dell,Everyday Use,heavy,1.0,large,266,1,32,1024,NVIDIA,14.0,0,1,very_high,2400.0,Intel i9 13.0
33900.0,Lenovo,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,0,low,1080.0,Intel i3 12.0
66999.0,HP,Everyday Use,medium,1.0,medium,141,0,16,512,AMD,8.0,1,1,medium,1080.0,AMD 7 7.0
89990.0,Dell,Everyday Use,medium,1.0,large,138,0,16,512,Integrated,10.0,1,1,medium,1080.0,Intel i7 13.0
31990.0,Lenovo,Performance,medium,1.0,medium,147,0,8,512,AMD,4.0,1,0,low,1080.0,AMD 3 7.0
172990.0,Lenovo,Gaming,heavy,1.0,large,184,0,32,1024,NVIDIA,14.0,1,1,medium,1600.0,Intel i7 13.0
292990.0,MSI,Performance,medium,2.0,large,283,0,32,1024,NVIDIA,14.0,1,1,very_high,2400.0,Intel i9 13.0
47990.0,Acer,Gaming,heavy,1.0,medium,141,0,8,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
66150.0,HP,Performance,medium,1.0,medium,141,0,16,512,Integrated,12.0,1,1,low,1080.0,Intel i5 13.0
131990.0,Asus,Gaming,heavy,1.0,medium,141,0,16,1024,NVIDIA,8.0,1,1,high,1080.0,AMD 9 7.0
179990.0,Asus,Gaming,heavy,1.0,large,189,0,16,1024,NVIDIA,24.0,1,1,high,1600.0,Intel i9 13.0
79990.0,Asus,Performance,medium,1.0,large,142,0,16,512,NVIDIA,8.0,1,1,high,1200.0,Intel i5 12.0
41490.0,HP,Everyday Use,medium,1.0,medium,141,0,8,512,Integrated,6.0,1,1,medium,1080.0,Intel i3 12.0
76990.0,MSI,Performance,heavy,2.0,medium,141,0,16,512,NVIDIA,8.0,1,1,medium,1080.0,Intel i5 12.0
79990.0,Asus,Performance,lite,1.0,small,162,0,16,512,NVIDIA,12.0,1,1,medium,1200.0,Intel i5 13.0
87990.0,Asus,Gaming,medium,1.0,large,283,0,16,512,NVIDIA,12.0,1,1,medium,1200.0,Intel i5 13.0
