brand,os,utility,warranty,display_size,ppi,aspect_ratio,antiglare,touch_screen,ram,hdd,ssd,graphic,cache,core,hdmi,mcr,wifi,backlit_keyboard,inbuilt_microphone,thunderbolt,fingerprint_sensor,ethernet,display_port,num_of_cell,battery_capacity,pixel_width,pixel_height,usb2,type_c,processor_brand,processor_model,processor_gen,price
4.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,12.0,10.0,1,0,1,1,1,0,1,0,0,3.0,42.0,1920.0,1080.0,1,0,2.0,19.0,12.0,47741.0
4.0,2.0,3.0,1.0,1.0,212,1.0,1,0,16,0,512,1.0,18.0,12.0,1,0,1,1,1,1,1,0,0,4.0,70.58211920529801,2880.0,1620.0,1,0,2.0,19.0,13.0,75990.0
16.0,2.0,3.0,1.0,1.0,141,1.0,1,0,16,0,512,0.0,16.0,8.0,1,0,1,1,1,0,0,1,0,3.0,53.5,1920.0,1080.0,1,0,0.0,5.0,5.0,59990.0
3.0,0.0,3.0,1.0,1.0,224,1.0,0,0,8,0,256,1.0,16.0,8.0,0,0,1,1,1,1,1,0,1,4.0,66.5,2880.0,1864.0,0,2,1.0,11.0,2.0,126990.0
13.0,2.0,3.0,1.0,1.0,141,1.0,1,0,8,0,512,1.0,4.0,4.0,1,0,1,1,1,0,0,0,0,2.0,40.0,1920.0,1080.0,0,0,2.0,16.0,11.0,23990.0
4.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,16.0,8.0,1,0,1,1,1,0,1,0,0,3.0,50.0,1920.0,1080.0,2,0,0.0,5.0,5.0,69990.0
2.0,2.0,1.0,1.0,1.0,141,1.0,0,0,8,0,512,0.0,4.0,4.0,1,0,1,0,1,0,0,0,0,3.0,40.0,1920.0,1080.0,0,0,0.0,1.0,7.0,33999.0
2.0,2.0,2.0,1.0,1.0,141,1.0,1,0,12,0,512,1.0,12.0,10.0,1,0,1,1,1,1,1,1,0,3.0,49.61666666666666,1920.0,1080.0,0,0,2.0,19.0,12.0,47990.0
26.0,2.0,1.0,1.0,2.0,215,0.0,1,0,16,0,512,1.0,12.0,8.0,1,0,1,1,1,1,1,0,0,3.0,49.61666666666666,2560.0,1600.0,0,0,2.0,19.0,12.0,59990.0
2.0,2.0,2.0,1.0,1.0,141,1.0,1,0,16,0,512,2.0,18.0,8.0,1,0,1,1,1,1,0,0,0,4.0,70.58211920529801,1920.0,1080.0,1,0,2.0,19.0,12.0,69990.0
